,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
190,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,100,10,0.5,0.39270102225014747
191,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.01,0.01,100,10,0.99,0.19989989717361747
192,data\base.json.gz,10,symmetric,auto,50,1,0.5,0.3331280490064037
193,data\base.json.gz,10,symmetric,auto,50,1,0.99,0.3024295092585438
194,data\base.json.gz,10,symmetric,auto,50,10,0.5,0.39009844848430775
195,data\base.json.gz,10,symmetric,auto,50,10,0.99,0.3507323803270566
196,data\base.json.gz,10,symmetric,auto,100,1,0.5,0.33100521773802216
197,data\base.json.gz,10,symmetric,auto,100,1,0.99,0.30252636935579374
198,data\base.json.gz,10,symmetric,auto,100,10,0.5,0.39551957126404613
199,data\base.json.gz,10,symmetric,auto,100,10,0.99,0.34473749675334775
200,data\base.json.gz,10,symmetric,0.001,50,1,0.5,0.3336172836750558
201,data\base.json.gz,10,symmetric,0.001,50,1,0.99,0.30414870488855356
202,data\base.json.gz,10,symmetric,0.001,50,10,0.5,0.3872201339473743
203,data\base.json.gz,10,symmetric,0.001,50,10,0.99,0.35216720939191765
204,data\base.json.gz,10,symmetric,0.001,100,1,0.5,0.3324633939317706
205,data\base.json.gz,10,symmetric,0.001,100,1,0.99,0.30358563338824707
206,data\base.json.gz,10,symmetric,0.001,100,10,0.5,0.3868456564086866
207,data\base.json.gz,10,symmetric,0.001,100,10,0.99,0.3462838094375559
208,data\base.json.gz,10,symmetric,0.01,50,1,0.5,0.33194721400838034
209,data\base.json.gz,10,symmetric,0.01,50,1,0.99,0.30414870488855356
210,data\base.json.gz,10,symmetric,0.01,50,10,0.5,0.3895377574225474
211,data\base.json.gz,10,symmetric,0.01,50,10,0.99,0.35086589870472673
212,data\base.json.gz,10,symmetric,0.01,100,1,0.5,0.3311799604570092
213,data\base.json.gz,10,symmetric,0.01,100,1,0.99,0.30252636935579374
214,data\base.json.gz,10,symmetric,0.01,100,10,0.5,0.38863528083905596
215,data\base.json.gz,10,symmetric,0.01,100,10,0.99,0.345162275059321
216,data\base.json.gz,10,asymmetric,auto,50,1,0.5,0.32723754200111477
217,data\base.json.gz,10,asymmetric,auto,50,1,0.99,0.30454984070239155
218,data\base.json.gz,10,asymmetric,auto,50,10,0.5,0.40784737544567456
